station_id,name,so_h,cglo,tb10,rrm,rf,ffx,ff,tb20,tl,rr
4601,Aspach,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
4611,Mattighofen,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
4705,Ried im Innkreis,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
4800,Gallspach,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
4801,Gallspach,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
4802,Gallspach,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
4810,Wolfsegg,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
4815,Wolfsegg,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
4821,Vöcklabruck,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
4905,Wels-Schleißheim,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
5000,Linz Hörsching Flughafen,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
5010,Kremsmünster,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
5012,Kremsmünster,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
5101,Enns,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
5103,Enns Stadt,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
5111,Steyr Stadtgut,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
5112,Wachtberg bei Steyr,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
5116,Wachtberg bei Steyr,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
5130,Enns,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
5300,Amstetten Gießhübl,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
5301,Amstetten,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
5302,Amstetten Allersdorf,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
5304,Amstetten Greinsfurth,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
5315,Amstetten Kläranlage,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
5316,Amstetten,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
5320,Ybbs Persenbeug,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
5400,Melk,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
5410,Oberndorf an der Melk,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
5412,Oberndorf an der Melk,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
5413,Melk,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
5421,Wieselburg,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
5430,Petzenkirchen,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
5600,St. Pölten Hesserkaserne,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
5601,St. Pölten Viehofen,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
5604,St. Pölten Kopalkaserne,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
5606,St. Pölten Kopalkaserne,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
5607,St. Pölten Wallseer Straße,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
5609,St. Pölten Landhaus,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
5625,Lilienfeld-Tarschberg,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
